id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
47;Supermercados Disco del Uruguay S.A.;Disco - SOLYMAR;Avda. Ing. Luis Giannattasio Km. 23.500;NULL;Interior;12;Disco;-34,82540479;-55,96452273;Ciudad de la Costa;Canelones;3;3831;NULL
48;Supermercados Disco del Uruguay S.A.;Disco - EJIDO;Ejido 1530;2;Centro;12;Disco;-34,90222682;-56,18702525;Montevideo;Montevideo;1;1020;NULL
49;Supermercados Disco del Uruguay S.A.;Disco - ROOSEVELT;Avda. Roosevelt y Zelmar Michelini;NULL;Interior;12;Disco;-34,91408137;-54,96142589;Punta del Este;Maldonado;10;10320;NULL
50;Supermercados Disco del Uruguay S.A.;Disco - PARADA 5;Pedragosa Sierra y Av. Italia (parada 5);NULL;Interior;12;Disco;-34,94305492;-54,93227366;Punta del Este;Maldonado;10;10524;NULL
51;Supermercados Disco del Uruguay S.A.;Disco - ATLANTIDA;Avda. Gral. Artigas entre 22 y 24;NULL;Interior;13;Disco;-34,77203396;-55,76235147;Atlántida;Canelones;3;3621;NULL
52;Devoto Hermanos S.A.;Devoto - 26 DE MARZO;26 de Marzo 1386;5;Pocitos;13;Devoto;-34,90791912;-56,14607934;Montevideo;Montevideo;1;1020;NULL
53;Supermercados Disco del Uruguay S.A.;Disco - SCOSERIA;Scoseria 2628;5;Pocitos;13;Disco;-34,9153555;-56,15548036;Montevideo;Montevideo;1;1020;NULL
54;Supermercados Disco del Uruguay S.A.;Disco - DE LA PUNTA;Calle 17 y 24;NULL;Interior;13;Disco;-34,96622428;-54,94629701;Punta del Este;Maldonado;10;10524;NULL
55;Devoto Hermanos S.A.;Devoto - PANDO;Juan A. Lavalleja Km 30 Ruta 8;NULL;Interior;14;Devoto;-34,72990601;-55,9715858;Pando;Canelones;3;3322;NULL
56;Supermercados Disco del Uruguay S.A.;Disco - AGRACIADA;Avda. Agraciada 2986;16;Bella Vista;15;Disco;-34,87585413;-56,19864349;Montevideo;Montevideo;1;1020;NULL
57;Devoto Hermanos S.A.;Devoto - AGRACIADA;Avda. Agraciada 3655;16;Prado;16;Devoto;-34,86497537;-56,20974186;Montevideo;Montevideo;1;1020;NULL
58;Supermercados Disco del Uruguay S.A.;Disco - 8 DE OCTUBRE Y GARIBALDI;Avda. 8 de Octubre 2681;4;La Blanqueada;17;Disco;-34,8894923;-56,16024425;Montevideo;Montevideo;1;1020;1460
59;Devoto Hermanos S.A.;Devoto - SAN MARTIN II;Avda. Gral. San Martín 3083;11;Atahualpa;20;Devoto;-34,86977972;-56,18203013;Montevideo;Montevideo;1;1020;NULL
60;Devoto Hermanos S.A.;Devoto - PORTONES;Avda. Italia 5779;8;Carrasco;20;Devoto;-34,88218541;-56,08218073;Montevideo;Montevideo;1;1020;NULL
61;Supermercados Disco del Uruguay S.A.;Disco - PUNTA CARRETAS;José Ellauri 350 Local 002;5;Punta Carretas;22;Disco;-34,92405523;-56,15998071;Montevideo;Montevideo;1;1020;NULL
62;Devoto Hermanos S.A.;Devoto - PUNTA DEL ESTE;Roosevelt y Parada 10;NULL;Interior;26;Devoto;-34,93606671;-54,93775946;Punta del Este;Maldonado;10;10524;NULL
63;Supermercados Disco del Uruguay S.A.;Disco - AV. ITALIA;Magariños Cervantes Nº 2052;6;Buceo;27;Disco;-34,887486;-56,1437407;Montevideo;Montevideo;1;1020;NULL
